Model,MSO3012
Firmware Version,2.40

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.004,
Horizontal Delay,0,
Sample Interval,4e-06,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,2,
Vertical Position,2,
,,
,,
,,
Label,,
TIME,CH1,CH2
-2.0000e-02,-1.6975,1.38031
-1.9996e-02,-1.69312,1.38531
-1.9992e-02,-1.68906,1.39094
-1.9988e-02,-1.68094,1.39688
-1.9984e-02,-1.67563,1.40187
-1.9980e-02,-1.67219,1.40094
-1.9976e-02,-1.67,1.40813
-1.9972e-02,-1.66406,1.41219
-1.9968e-02,-1.65844,1.41469
-1.9964e-02,-1.65531,1.41625
-1.9960e-02,-1.65437,1.42031
-1.9956e-02,-1.64844,1.4275
-1.9952e-02,-1.64438,1.43031
-1.9948e-02,-1.63969,1.43312
-1.9944e-02,-1.63719,1.43344
-1.9940e-02,-1.63469,1.43844
-1.9936e-02,-1.6325,1.44125
-1.9932e-02,-1.62812,1.44531
-1.9928e-02,-1.625,1.44875
-1.9924e-02,-1.62438,1.45187
-1.9920e-02,-1.62,1.45531
-1.9916e-02,-1.61781,1.45437
-1.9912e-02,-1.61375,1.45844
-1.9908e-02,-1.61062,1.46031
-1.9904e-02,-1.60969,1.46188
-1.9900e-02,-1.60875,1.46344
-1.9896e-02,-1.60156,1.4675
-1.9892e-02,-1.60312,1.46813
-1.9888e-02,-1.59906,1.47094
-1.9884e-02,-1.6,1.47219
-1.9880e-02,-1.59594,1.47406
-1.9876e-02,-1.5925,1.47906
-1.9872e-02,-1.58937,1.48062
-1.9868e-02,-1.59,1.48062
-1.9864e-02,-1.58594,1.48531
-1.9860e-02,-1.57969,1.48531
-1.9856e-02,-1.57969,1.48844
-1.9852e-02,-1.57937,1.49
-1.9848e-02,-1.57656,1.49125
-1.9844e-02,-1.57469,1.49281
-1.9840e-02,-1.57563,1.49437
-1.9836e-02,-1.56906,1.49531
-1.9832e-02,-1.56969,1.4975
-1.9828e-02,-1.57063,1.49906
-1.9824e-02,-1.56562,1.50219
-1.9820e-02,-1.56438,1.50344
-1.9816e-02,-1.56344,1.50406
-1.9812e-02,-1.5625,1.50406
-1.9808e-02,-1.55844,1.50469
-1.9804e-02,-1.55625,1.50562
-1.9800e-02,-1.55344,1.50719
-1.9796e-02,-1.55375,1.50406
-1.9792e-02,-1.55344,1.50875
-1.9788e-02,-1.55125,1.50969
-1.9784e-02,-1.54969,1.51125
-1.9780e-02,-1.54781,1.51281
-1.9776e-02,-1.54781,1.51375
-1.9772e-02,-1.54688,1.51375
-1.9768e-02,-1.54562,1.51719
-1.9764e-02,-1.54375,1.51875
-1.9760e-02,-1.54375,1.51969
-1.9756e-02,-1.54562,1.51969
-1.9752e-02,-1.54469,1.51969
-1.9748e-02,-1.54125,1.52094
-1.9744e-02,-1.54125,1.51938
-1.9740e-02,-1.53969,1.51969
-1.9736e-02,-1.54219,1.52094
-1.9732e-02,-1.53969,1.5225
-1.9728e-02,-1.53656,1.52188
-1.9724e-02,-1.53812,1.52281
-1.9720e-02,-1.53969,1.5225
