Model,MSO3012
Firmware Version,2.40

Waveform Type,ANALOG,,,Waveform Type,ANALOG
Point Format,Y,,,Point Format,Y
Horizontal Units,s,,,Horizontal Units,s
Horizontal Scale,0.004,,,Horizontal Scale,0.004
Horizontal Delay,0,,,Horizontal Delay,0
Sample Interval,4e-06,,,Sample Interval,4e-06
Record Length,10000,,,Record Length,10000
Gating,0.0% to 100.0%,,,Gating,0.0% to 100.0%
Probe Attenuation,1,,,Probe Attenuation,1
Vertical Units,V,,,Vertical Units,V
Vertical Offset,0,,,Vertical Offset,0
Vertical Scale,2,,,Vertical Scale,1
Vertical Position,0,,,Vertical Position,0
,,,,,
,,,,,
,,,,,
Label,,,,Label,
TIME,CH1,CH2,,TIME,"MATH<CH1-CH2>"
-2.0000e-02,-1.99625,0.805,,-2.0000e-02,-2.7975
-1.9996e-02,-1.98469,0.814688,,-1.9996e-02,-2.79219
-1.9992e-02,-1.975,0.824688,,-1.9992e-02,-2.79594
-1.9988e-02,-1.96469,0.835313,,-1.9988e-02,-2.79406
-1.9984e-02,-1.95406,0.845625,,-1.9984e-02,-2.79656
-1.9980e-02,-1.94906,0.854063,,-1.9980e-02,-2.79406
-1.9976e-02,-1.93469,0.862187,,-1.9976e-02,-2.79219
-1.9972e-02,-1.92781,0.8725,,-1.9972e-02,-2.79344
-1.9968e-02,-1.92094,0.882188,,-1.9968e-02,-2.79594
-1.9964e-02,-1.91,0.888125,,-1.9964e-02,-2.7925
-1.9960e-02,-1.89625,0.900938,,-1.9960e-02,-2.79656
-1.9956e-02,-1.88813,0.910625,,-1.9956e-02,-2.79656
-1.9952e-02,-1.87781,0.9175,,-1.9952e-02,-2.79469
-1.9948e-02,-1.87094,0.926875,,-1.9948e-02,-2.79531
-1.9944e-02,-1.85906,0.934375,,-1.9944e-02,-2.79156
-1.9940e-02,-1.84781,0.944063,,-1.9940e-02,-2.7925
-1.9936e-02,-1.83781,0.953125,,-1.9936e-02,-2.78938
-1.9932e-02,-1.82969,0.962187,,-1.9932e-02,-2.7925
-1.9928e-02,-1.82,0.971875,,-1.9928e-02,-2.79094
-1.9924e-02,-1.80937,0.98125,,-1.9924e-02,-2.79094
-1.9920e-02,-1.80063,0.988125,,-1.9920e-02,-2.78844
-1.9916e-02,-1.79156,1.00188,,-1.9916e-02,-2.79375
-1.9912e-02,-1.78188,1.00906,,-1.9912e-02,-2.7925
-1.9908e-02,-1.77438,1.01875,,-1.9908e-02,-2.79031
-1.9904e-02,-1.76469,1.02531,,-1.9904e-02,-2.79125
-1.9900e-02,-1.75594,1.03406,,-1.9900e-02,-2.78625
-1.9896e-02,-1.74844,1.04406,,-1.9896e-02,-2.79062
-1.9892e-02,-1.73875,1.05031,,-1.9892e-02,-2.78906
-1.9888e-02,-1.72875,1.05688,,-1.9888e-02,-2.78563
-1.9884e-02,-1.7175,1.065,,-1.9884e-02,-2.78344
-1.9880e-02,-1.71375,1.07406,,-1.9880e-02,-2.78594
-1.9876e-02,-1.70562,1.08219,,-1.9876e-02,-2.7875
-1.9872e-02,-1.69719,1.08875,,-1.9872e-02,-2.78281
