Model,MSO3012
Firmware Version,2.40

Waveform Type,ANALOG,,,Waveform Type,ANALOG
Point Format,Y,,,Point Format,Y
Horizontal Units,s,,,Horizontal Units,s
Horizontal Scale,0.004,,,Horizontal Scale,0.004
Horizontal Delay,0,,,Horizontal Delay,0
Sample Interval,4e-06,,,Sample Interval,4e-06
Record Length,10000,,,Record Length,10000
Gating,0.0% to 100.0%,,,Gating,0.0% to 100.0%
Probe Attenuation,1,,,Probe Attenuation,1
Vertical Units,V,,,Vertical Units,V
Vertical Offset,0,,,Vertical Offset,0
Vertical Scale,0.2,,,Vertical Scale,2
Vertical Position,2,,,Vertical Position,0
,,,,,
,,,,,
,,,,,
Label,,,,Label,
TIME,CH1,CH2,,TIME,"MATH<CH1-CH2>"
-2.0000e-02,0.185344,2.94375,,-2.0000e-02,-2.75687
-1.9996e-02,0.186688,2.95391,,-1.9996e-02,-2.77406
-1.9992e-02,0.187656,2.96172,,-1.9992e-02,-2.77594
-1.9988e-02,0.188312,2.97187,,-1.9988e-02,-2.78844
-1.9984e-02,0.189281,2.98594,,-1.9984e-02,-2.79937
-1.9980e-02,0.189812,3,,-1.9980e-02,-2.81125
-1.9976e-02,0.1905,3.00703,,-1.9976e-02,-2.82187
-1.9972e-02,0.191594,3.01875,,-1.9972e-02,-2.82469
-1.9968e-02,0.192719,3.02656,,-1.9968e-02,-2.835
-1.9964e-02,0.194031,3.0375,,-1.9964e-02,-2.84375
-1.9960e-02,0.194344,3.04766,,-1.9960e-02,-2.84656
-1.9956e-02,0.194688,3.06328,,-1.9956e-02,-2.85781
-1.9952e-02,0.196063,3.07187,,-1.9952e-02,-2.87469
-1.9948e-02,0.197812,3.08359,,-1.9948e-02,-2.88344
-1.9944e-02,0.198469,3.09219,,-1.9944e-02,-2.89469
-1.9940e-02,0.199375,3.10781,,-1.9940e-02,-2.90219
-1.9936e-02,0.200437,3.11406,,-1.9936e-02,-2.91063
-1.9932e-02,0.201344,3.11641,,-1.9932e-02,-2.92437
-1.9928e-02,0.202406,3.12578,,-1.9928e-02,-2.92969
-1.9924e-02,0.203594,3.13594,,-1.9924e-02,-2.93531
-1.9920e-02,0.2045,3.14609,,-1.9920e-02,-2.94594
-1.9916e-02,0.205719,3.15703,,-1.9916e-02,-2.95375
-1.9912e-02,0.206937,3.17266,,-1.9912e-02,-2.96813
-1.9908e-02,0.207656,3.18281,,-1.9908e-02,-2.97188
-1.9904e-02,0.208906,3.19766,,-1.9904e-02,-2.98438
-1.9900e-02,0.209531,3.20547,,-1.9900e-02,-2.99688
-1.9896e-02,0.210344,3.21953,,-1.9896e-02,-3.00062
-1.9892e-02,0.211344,3.22187,,-1.9892e-02,-3.01313
-1.9888e-02,0.211812,3.22734,,-1.9888e-02,-3.01562
-1.9884e-02,0.212469,3.23203,,-1.9884e-02,-3.02281
-1.9880e-02,0.213531,3.24844,,-1.9880e-02,-3.03563
-1.9876e-02,0.215063,3.26406,,-1.9876e-02,-3.04688
-1.9872e-02,0.216094,3.27031,,-1.9872e-02,-3.05781
-1.9868e-02,0.217187,3.28125,,-1.9868e-02,-3.0675
