Model,MSO3012
Firmware Version,2.40

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.002,
Horizontal Delay,0,
Sample Interval,2e-06,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.005,
Vertical Position,2,
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.000e-02,-0.00118672,-0.0056875
-9.998e-03,-0.00113594,-0.00564844
-9.996e-03,-0.00112969,-0.00552344
-9.994e-03,-0.00108516,-0.00557813
-9.992e-03,-0.00105469,-0.00552344
-9.990e-03,-0.00104062,-0.00542187
-9.988e-03,-0.00101172,-0.0054375
-9.986e-03,-0.00103359,-0.00510156
-9.984e-03,-0.00103047,-0.00475
-9.982e-03,-0.00102344,-0.00436719
-9.980e-03,-0.00101797,-0.003875
-9.978e-03,-0.00102031,-0.00357031
-9.976e-03,-0.000999219,-0.003125
-9.974e-03,-0.000975781,-0.00300781
-9.972e-03,-0.000967187,-0.00296094
-9.970e-03,-0.000934375,-0.00298437
-9.968e-03,-0.000925,-0.00310156
-9.966e-03,-0.0009125,-0.00328906
-9.964e-03,-0.00090625,-0.00326562
-9.962e-03,-0.000911719,-0.00314844
-9.960e-03,-0.000908594,-0.00296875
-9.958e-03,-0.000859375,-0.00286719
-9.956e-03,-0.000845313,-0.0025
-9.954e-03,-0.00080625,-0.0025625
-9.952e-03,-0.000807031,-0.00245313
-9.950e-03,-0.000800781,-0.0024375
-9.948e-03,-0.00080625,-0.00260156
-9.946e-03,-0.00084375,-0.00271875
-9.944e-03,-0.000835156,-0.00263281
-9.942e-03,-0.000833594,-0.00228906
-9.940e-03,-0.000810156,-0.00190625
-9.938e-03,-0.000770313,-0.001625
-9.936e-03,-0.000752344,-0.00129688
-9.934e-03,-0.000723438,-0.00107031
-9.932e-03,-0.000695312,-0.00096875
-9.930e-03,-0.000690625,-0.000726562
-9.928e-03,-0.000675,-0.000523438
-9.926e-03,-0.000660156,-0.000320313
-9.924e-03,-0.000648437,-0.000257812
-9.922e-03,-0.00066875,-0.000101562
-9.920e-03,-0.000647656,0.00028125
-9.918e-03,-0.000657813,0.000367188
-9.916e-03,-0.000650781,0.000570313
-9.914e-03,-0.000646094,0.000554687
-9.912e-03,-0.000671094,0.000609375
-9.910e-03,-0.000640625,0.000554687
-9.908e-03,-0.000617969,0.000789063
-9.906e-03,-0.000605469,0.000953125
-9.904e-03,-0.000605469,0.00109375
-9.902e-03,-0.000592969,0.0010625
-9.900e-03,-0.000563281,0.00124219
-9.898e-03,-0.000552344,0.00120312
-9.896e-03,-0.000515625,0.00124219
-9.894e-03,-0.000496094,0.00126563
-9.892e-03,-0.000515625,0.00116406
-9.890e-03,-0.000485156,0.00121875
-9.888e-03,-0.000475,0.00158594
-9.886e-03,-0.000457031,0.00180469
-9.884e-03,-0.000453125,0.00219531
-9.882e-03,-0.000465625,0.00244531
-9.880e-03,-0.000460937,0.0025
-9.878e-03,-0.000469531,0.00246094
-9.876e-03,-0.000439063,0.00246094
-9.874e-03,-0.0004375,0.00266406
-9.872e-03,-0.000445312,0.00299219
-9.870e-03,-0.000422656,0.00313281
