Model,MSO3012
Firmware Version,2.40

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.002,
Horizontal Delay,0,
Sample Interval,2e-06,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.05,
Vertical Position,2,
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.000e-02,-0.00577344,0.185156
-9.998e-03,-0.00463281,0.1875
-9.996e-03,-0.00351563,0.199219
-9.994e-03,-0.00248437,0.215625
-9.992e-03,-0.00150781,0.225781
-9.990e-03,-0.000414063,0.232031
-9.988e-03,0.000835937,0.252344
-9.986e-03,0.00192188,0.270312
-9.984e-03,0.00310156,0.271875
-9.982e-03,0.0041875,0.292187
-9.980e-03,0.00544531,0.294531
-9.978e-03,0.00653906,0.315625
-9.976e-03,0.00763281,0.329687
-9.974e-03,0.00877344,0.341406
-9.972e-03,0.00986719,0.360156
-9.970e-03,0.0109219,0.361719
-9.968e-03,0.0120234,0.380469
-9.966e-03,0.0130391,0.392187
-9.964e-03,0.0141953,0.398438
-9.962e-03,0.0152891,0.420312
-9.960e-03,0.0163047,0.425
-9.958e-03,0.0174687,0.43125
-9.956e-03,0.0186094,0.442969
-9.954e-03,0.0197656,0.460938
-9.952e-03,0.0208203,0.477344
-9.950e-03,0.0218516,0.482031
-9.948e-03,0.0228516,0.498437
-9.946e-03,0.0238047,0.505469
-9.944e-03,0.0248437,0.51875
-9.942e-03,0.0258203,0.542187
-9.940e-03,0.0269297,0.539062
-9.938e-03,0.0278438,0.5625
-9.936e-03,0.0288203,0.576562
-9.934e-03,0.0297187,0.5875
-9.932e-03,0.0307344,0.603125
-9.930e-03,0.0317891,0.607031
-9.928e-03,0.0329453,0.628125
-9.926e-03,0.0340391,0.635937
-9.924e-03,0.0351562,0.653906
-9.922e-03,0.0360781,0.650781
-9.920e-03,0.03725,0.66875
-9.918e-03,0.0382422,0.685156
-9.916e-03,0.0393672,0.700781
-9.914e-03,0.0403359,0.708594
-9.912e-03,0.0414766,0.725781
-9.910e-03,0.0424453,0.735938
-9.908e-03,0.0434844,0.75625
-9.906e-03,0.0444844,0.769531
-9.904e-03,0.0455,0.767969
-9.902e-03,0.0464141,0.786719
-9.900e-03,0.0473828,0.792969
-9.898e-03,0.0482344,0.820312
-9.896e-03,0.0491094,0.820312
-9.894e-03,0.0499219,0.828906
-9.892e-03,0.0506406,0.842969
-9.890e-03,0.0514062,0.863281
-9.888e-03,0.052125,0.877344
-9.886e-03,0.0527734,0.884375
-9.884e-03,0.0534219,0.9
-9.882e-03,0.0540078,0.903906
-9.880e-03,0.0545937,0.917969
-9.878e-03,0.0550391,0.938281
-9.876e-03,0.0554531,0.946875
-9.874e-03,0.0558984,0.959375
-9.872e-03,0.0564219,0.965625
-9.870e-03,0.05675,0.973437
-9.868e-03,0.0571172,0.9875
-9.866e-03,0.0575234,1.00156
-9.864e-03,0.0578906,1.02031
-9.862e-03,0.0583203,1.01562
-9.860e-03,0.0586641,1.04219
-9.858e-03,0.0589453,1.05078
-9.856e-03,0.0592891,1.06484
-9.854e-03,0.0595547,1.0875
