Model,MSO3012
Firmware Version,2.40

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.002,
Horizontal Delay,0,
Sample Interval,2e-06,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.2,
Vertical Position,2,
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.000e-02,-0.0265,0.0265625
-9.998e-03,-0.0246875,0.0382812
-9.996e-03,-0.0234688,0.046875
-9.994e-03,-0.0221875,0.0617187
-9.992e-03,-0.0216875,0.075
-9.990e-03,-0.0202188,0.0953125
-9.988e-03,-0.0190312,0.0914062
-9.986e-03,-0.0176563,0.1125
-9.984e-03,-0.0166563,0.117969
-9.982e-03,-0.0155938,0.132031
-9.980e-03,-0.0147188,0.152344
-9.978e-03,-0.0138125,0.163281
-9.976e-03,-0.0128437,0.178906
-9.974e-03,-0.0119375,0.190625
-9.972e-03,-0.0112187,0.199219
-9.970e-03,-0.00978125,0.213281
-9.968e-03,-0.008125,0.221875
-9.966e-03,-0.00796875,0.241406
-9.964e-03,-0.00634375,0.24375
-9.962e-03,-0.00559375,0.252344
-9.960e-03,-0.00425,0.276562
-9.958e-03,-0.00303125,0.286719
-9.956e-03,-0.00259375,0.303125
-9.954e-03,-0.001,0.309375
-9.952e-03,-0.0003125,0.321094
-9.950e-03,0.001375,0.332812
-9.948e-03,0.002,0.346094
-9.946e-03,0.00325,0.360156
-9.944e-03,0.0049375,0.370312
-9.942e-03,0.0063125,0.384375
-9.940e-03,0.007375,0.396875
-9.938e-03,0.00834375,0.407031
-9.936e-03,0.00971875,0.427344
-9.934e-03,0.0106562,0.4375
-9.932e-03,0.0113437,0.442969
-9.930e-03,0.0129687,0.464844
-9.928e-03,0.0137188,0.475781
-9.926e-03,0.0147812,0.491406
-9.924e-03,0.0163437,0.501563
-9.922e-03,0.0169063,0.51875
-9.920e-03,0.0179687,0.521875
-9.918e-03,0.0191875,0.540625
-9.916e-03,0.0204062,0.549219
-9.914e-03,0.02175,0.560937
-9.912e-03,0.0225,0.578906
-9.910e-03,0.0241875,0.585156
-9.908e-03,0.0249375,0.599219
-9.906e-03,0.0264687,0.610156
-9.904e-03,0.0274375,0.619531
-9.902e-03,0.0285,0.6375
-9.900e-03,0.0299687,0.64375
-9.898e-03,0.0310313,0.6625
-9.896e-03,0.0319375,0.6625
-9.894e-03,0.0335313,0.685156
-9.892e-03,0.0338125,0.707031
-9.890e-03,0.03525,0.710938
-9.888e-03,0.03625,0.725
-9.886e-03,0.0371875,0.741406
-9.884e-03,0.03875,0.745312
-9.882e-03,0.0397812,0.761719
-9.880e-03,0.0406875,0.771875
-9.878e-03,0.0416563,0.785937
-9.876e-03,0.04275,0.794531
-9.874e-03,0.0441875,0.802344
-9.872e-03,0.0455625,0.821094
-9.870e-03,0.046875,0.828906
-9.868e-03,0.0478437,0.850781
-9.866e-03,0.0488437,0.859375
-9.864e-03,0.0494062,0.864062
-9.862e-03,0.050375,0.8875
-9.860e-03,0.0515625,0.897656
-9.858e-03,0.0524688,0.90625
-9.856e-03,0.0535312,0.921875
-9.854e-03,0.0546875,0.940625
