Model,MSO3012
Firmware Version,2.40

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.002,
Horizontal Delay,0,
Sample Interval,2e-06,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.005,
Vertical Position,2,
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.000e-02,-0.00119297,-0.00595313
-9.998e-03,-0.00114766,-0.00560156
-9.996e-03,-0.00115859,-0.00514062
-9.994e-03,-0.00115156,-0.00495313
-9.992e-03,-0.00115781,-0.00496875
-9.990e-03,-0.00114609,-0.00501562
-9.988e-03,-0.00113984,-0.00507031
-9.986e-03,-0.00112969,-0.005
-9.984e-03,-0.00110781,-0.005
-9.982e-03,-0.00111484,-0.00489062
-9.980e-03,-0.00109766,-0.00469531
-9.978e-03,-0.00106875,-0.00469531
-9.976e-03,-0.00107109,-0.00446094
-9.974e-03,-0.00106094,-0.0045625
-9.972e-03,-0.00105234,-0.00442187
-9.970e-03,-0.00104375,-0.00428125
-9.968e-03,-0.00102031,-0.00439062
-9.966e-03,-0.00102188,-0.00432031
-9.964e-03,-0.001,-0.00415625
-9.962e-03,-0.00100937,-0.0038125
-9.960e-03,-0.00099375,-0.00364844
-9.958e-03,-0.000971094,-0.00357813
-9.956e-03,-0.000983594,-0.00342969
-9.954e-03,-0.000971094,-0.00360937
-9.952e-03,-0.000967187,-0.00345313
-9.950e-03,-0.000940625,-0.00349219
-9.948e-03,-0.000924219,-0.00334375
-9.946e-03,-0.000949219,-0.00296875
-9.944e-03,-0.000914062,-0.00269531
-9.942e-03,-0.000928125,-0.00245313
-9.940e-03,-0.00091875,-0.00225
-9.938e-03,-0.000910156,-0.00214844
-9.936e-03,-0.000901562,-0.0021875
-9.934e-03,-0.000884375,-0.002125
-9.932e-03,-0.0008875,-0.00182031
-9.930e-03,-0.000859375,-0.00157812
-9.928e-03,-0.000846875,-0.00141406
-9.926e-03,-0.000840625,-0.00154688
-9.924e-03,-0.000807031,-0.00164062
-9.922e-03,-0.000786719,-0.00166406
-9.920e-03,-0.000767969,-0.00172656
-9.918e-03,-0.000764062,-0.001625
-9.916e-03,-0.000746094,-0.00138281
-9.914e-03,-0.000719531,-0.00114062
-9.912e-03,-0.000727344,-0.000804687
-9.910e-03,-0.000715625,-0.000710937
-9.908e-03,-0.000701562,-0.000609375
-9.906e-03,-0.000703125,-0.000585937
-9.904e-03,-0.000709375,-0.000460937
-9.902e-03,-0.000692969,-0.000429687
-9.900e-03,-0.000647656,-0.000179687
-9.898e-03,-0.000628125,0.000109375
-9.896e-03,-0.000621875,0.00040625
-9.894e-03,-0.0005875,0.000820313
-9.892e-03,-0.000597656,0.001
-9.890e-03,-0.000572656,0.00116406
-9.888e-03,-0.000601562,0.00138281
-9.886e-03,-0.000573437,0.00154688
-9.884e-03,-0.000554687,0.00177344
-9.882e-03,-0.000516406,0.00197656
-9.880e-03,-0.0005125,0.00199219
-9.878e-03,-0.000517969,0.00185156
-9.876e-03,-0.000520312,0.00195312
-9.874e-03,-0.000534375,0.00229688
-9.872e-03,-0.000546875,0.00253906
