Model,MSO3012
Firmware Version,2.40

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.004,
Horizontal Delay,0,
Sample Interval,4e-06,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,2,
Vertical Position,2,
,,
,,
,,
Label,,
TIME,CH1,CH2
-2.0000e-02,-1.72031,1.35531
-1.9996e-02,-1.71188,1.36125
-1.9992e-02,-1.70469,1.36813
-1.9988e-02,-1.70125,1.37219
-1.9984e-02,-1.69719,1.37719
-1.9980e-02,-1.6925,1.38125
-1.9976e-02,-1.68625,1.38563
-1.9972e-02,-1.68187,1.39187
-1.9968e-02,-1.67531,1.39281
-1.9964e-02,-1.67281,1.40062
-1.9960e-02,-1.66906,1.40312
-1.9956e-02,-1.66344,1.40813
-1.9952e-02,-1.65844,1.41281
-1.9948e-02,-1.655,1.41562
-1.9944e-02,-1.65187,1.42031
-1.9940e-02,-1.64781,1.42687
-1.9936e-02,-1.64312,1.42844
-1.9932e-02,-1.64219,1.435
-1.9928e-02,-1.64031,1.43812
-1.9924e-02,-1.635,1.43906
-1.9920e-02,-1.63094,1.43906
-1.9916e-02,-1.63,1.44312
-1.9912e-02,-1.62594,1.44531
-1.9908e-02,-1.62438,1.44781
-1.9904e-02,-1.61937,1.45063
-1.9900e-02,-1.61844,1.45594
-1.9896e-02,-1.61469,1.45625
-1.9892e-02,-1.61187,1.46344
-1.9888e-02,-1.61031,1.46344
-1.9884e-02,-1.60562,1.46656
-1.9880e-02,-1.60219,1.46813
-1.9876e-02,-1.60094,1.46656
-1.9872e-02,-1.59906,1.46813
-1.9868e-02,-1.59813,1.47
-1.9864e-02,-1.595,1.47469
-1.9860e-02,-1.59187,1.47562
-1.9856e-02,-1.58875,1.47969
-1.9852e-02,-1.59,1.47969
-1.9848e-02,-1.58469,1.47875
-1.9844e-02,-1.58438,1.48281
-1.9840e-02,-1.58125,1.48469
-1.9836e-02,-1.57812,1.48375
-1.9832e-02,-1.57875,1.49
-1.9828e-02,-1.57531,1.48781
-1.9824e-02,-1.57125,1.49031
-1.9820e-02,-1.57125,1.4925
-1.9816e-02,-1.57156,1.49406
-1.9812e-02,-1.57,1.49531
-1.9808e-02,-1.56656,1.495
-1.9804e-02,-1.56562,1.49938
-1.9800e-02,-1.565,1.5
-1.9796e-02,-1.5625,1.50094
-1.9792e-02,-1.56094,1.50062
-1.9788e-02,-1.56,1.50219
-1.9784e-02,-1.55937,1.50312
-1.9780e-02,-1.55844,1.505
-1.9776e-02,-1.55594,1.50562
-1.9772e-02,-1.55437,1.50719
-1.9768e-02,-1.55187,1.5075
-1.9764e-02,-1.55094,1.51313
-1.9760e-02,-1.55187,1.51063
-1.9756e-02,-1.55375,1.51031
-1.9752e-02,-1.54875,1.51219
-1.9748e-02,-1.54625,1.51313
-1.9744e-02,-1.54719,1.51219
-1.9740e-02,-1.54688,1.51781
-1.9736e-02,-1.54406,1.51781
-1.9732e-02,-1.54156,1.51719
-1.9728e-02,-1.54,1.51938
-1.9724e-02,-1.54219,1.51969
-1.9720e-02,-1.53875,1.525
