Model,MSO3012
Firmware Version,2.40

Waveform Type,ANALOG,,,Waveform Type,ANALOG
Point Format,Y,,,Point Format,Y
Horizontal Units,s,,,Horizontal Units,s
Horizontal Scale,0.004,,,Horizontal Scale,0.004
Horizontal Delay,0,,,Horizontal Delay,0
Sample Interval,4e-06,,,Sample Interval,4e-06
Record Length,10000,,,Record Length,10000
Gating,0.0% to 100.0%,,,Gating,0.0% to 100.0%
Probe Attenuation,1,,,Probe Attenuation,1
Vertical Units,V,,,Vertical Units,V
Vertical Offset,0,,,Vertical Offset,0
Vertical Scale,2,,,Vertical Scale,1
Vertical Position,0,,,Vertical Position,0
,,,,,
,,,,,
,,,,,
Label,,,,Label,
TIME,CH1,CH2,,TIME,"MATH<CH1-CH2>"
-2.0000e-02,-2.08469,0.83125,,-2.0000e-02,-2.91063
-1.9996e-02,-2.07531,0.841562,,-1.9996e-02,-2.90844
-1.9992e-02,-2.06312,0.850625,,-1.9992e-02,-2.90469
-1.9988e-02,-2.05375,0.86125,,-1.9988e-02,-2.90531
-1.9984e-02,-2.0425,0.871563,,-1.9984e-02,-2.9075
-1.9980e-02,-2.03437,0.882188,,-1.9980e-02,-2.90844
-1.9976e-02,-2.02563,0.88875,,-1.9976e-02,-2.90313
-1.9972e-02,-2.01656,0.899375,,-1.9972e-02,-2.90781
-1.9968e-02,-2.00594,0.906563,,-1.9968e-02,-2.90656
-1.9964e-02,-2.00094,0.91875,,-1.9964e-02,-2.91031
-1.9960e-02,-1.99,0.927188,,-1.9960e-02,-2.90719
-1.9956e-02,-1.97656,0.9375,,-1.9956e-02,-2.905
-1.9952e-02,-1.96562,0.945,,-1.9952e-02,-2.90875
-1.9948e-02,-1.95469,0.958125,,-1.9948e-02,-2.91094
-1.9944e-02,-1.94531,0.968438,,-1.9944e-02,-2.90938
-1.9940e-02,-1.93844,0.976562,,-1.9940e-02,-2.90531
-1.9936e-02,-1.92906,0.984688,,-1.9936e-02,-2.90781
-1.9932e-02,-1.9175,0.995938,,-1.9932e-02,-2.90625
-1.9928e-02,-1.90781,1.00812,,-1.9928e-02,-2.905
-1.9924e-02,-1.90187,1.01719,,-1.9924e-02,-2.90469
-1.9920e-02,-1.89,1.02219,,-1.9920e-02,-2.90156
-1.9916e-02,-1.88031,1.03344,,-1.9916e-02,-2.90187
-1.9912e-02,-1.87031,1.03906,,-1.9912e-02,-2.90719
-1.9908e-02,-1.86125,1.04812,,-1.9908e-02,-2.90344
-1.9904e-02,-1.85156,1.05563,,-1.9904e-02,-2.90375
-1.9900e-02,-1.84125,1.06125,,-1.9900e-02,-2.90563
-1.9896e-02,-1.83219,1.07313,,-1.9896e-02,-2.90187
-1.9892e-02,-1.82719,1.08125,,-1.9892e-02,-2.9025
-1.9888e-02,-1.81937,1.09094,,-1.9888e-02,-2.90125
-1.9884e-02,-1.80469,1.09844,,-1.9884e-02,-2.8975
-1.9880e-02,-1.79812,1.10344,,-1.9880e-02,-2.89344
-1.9876e-02,-1.79,1.11406,,-1.9876e-02,-2.89562
-1.9872e-02,-1.78594,1.11938,,-1.9872e-02,-2.89875
